0.000000e+00	2.216422e-21
2.200000e+05	2.216450e-21
4.400000e+05	2.216487e-21
6.600000e+05	2.216533e-21
8.800000e+05	2.216588e-21
1.100000e+06	2.216652e-21
1.320000e+06	2.216724e-21
1.540000e+06	2.216805e-21
1.760000e+06	2.216896e-21
1.980000e+06	2.216995e-21
2.200000e+06	2.217103e-21
2.420000e+06	2.217219e-21
2.640000e+06	2.217345e-21
2.860000e+06	2.217479e-21
3.080000e+06	2.217622e-21
3.300000e+06	2.217775e-21
3.520000e+06	2.217936e-21
3.740000e+06	2.218105e-21
3.960000e+06	2.218284e-21
4.180000e+06	2.218472e-21
4.400000e+06	2.218668e-21
4.620000e+06	2.218873e-21
4.840000e+06	2.219087e-21
5.060000e+06	2.219310e-21
5.280000e+06	2.219542e-21
5.500000e+06	2.219782e-21
5.720000e+06	2.220032e-21
5.940000e+06	2.220290e-21
6.160000e+06	2.220557e-21
6.380000e+06	2.220833e-21
6.600000e+06	2.221118e-21
6.820000e+06	2.221412e-21
7.040000e+06	2.221714e-21
7.260000e+06	2.222025e-21
7.480000e+06	2.222346e-21
7.700000e+06	2.222675e-21
7.920000e+06	2.223013e-21
8.140000e+06	2.223359e-21
8.360000e+06	2.223715e-21
8.580000e+06	2.224079e-21
8.800000e+06	2.224453e-21
9.020000e+06	2.224835e-21
9.240000e+06	2.225226e-21
9.460000e+06	2.225626e-21
9.680000e+06	2.226034e-21
9.900000e+06	2.226452e-21
1.012000e+07	2.226878e-21
1.034000e+07	2.227313e-21
1.056000e+07	2.227757e-21
1.078000e+07	2.228210e-21
1.100000e+07	2.228672e-21
